Fahrgast_ID,Spawnzeit,Einsteigzeit,Austeigezeit,Wartezeit,Startetage,Zieletage,Nimmt_Treppenhaus
0,1.0425609324082787,1.0425609324082787,11.042560932408279,0.0,0,1,False
1,8.966183922208064,8.966183922208064,33.96618392220806,0.0,0,4,False
2,20.832328593826936,20.832328593826936,40.83232859382694,0.0,0,3,False
3,21.99145028165041,25.832328593826936,75.83232859382693,3.840878312176528,0,9,False
5,76.58863014388132,76.58863014388132,86.58863014388132,0.0,0,1,False
4,38.480437641044986,58.96618392220806,98.96618392220806,20.485746281163074,0,7,False
6,81.01625648295297,96.58863014388132,121.58863014388132,15.57237366092835,0,4,False
10,99.30054413697448,126.01625648295297,151.01625648295297,26.71571234597849,0,4,False
7,88.79229139428844,96.58863014388132,151.58863014388132,7.796338749592877,0,9,False
8,93.8789989996722,96.58863014388132,151.58863014388132,2.709631144209112,0,9,False
9,94.8789989996722,96.58863014388132,151.58863014388132,1.709631144209112,0,9,False
12,130.82659089375775,140.82659089375775,160.82659089375775,10.0,0,3,False
11,113.58212438845578,126.01625648295297,161.01625648295297,12.434132094497187,0,5,False
13,138.85173942782896,140.82659089375775,180.82659089375775,1.9748514659287935,0,6,False
16,161.7399600977879,191.01625648295297,206.01625648295297,29.276296385165068,0,2,False
17,171.99590732625435,191.01625648295297,206.01625648295297,19.020349156698614,0,2,False
19,195.5123713687542,204.5123713687542,214.5123713687542,9.0,0,1,False
14,149.0187968661634,191.01625648295297,216.01625648295297,41.99745961678957,0,3,False
15,156.50420759466164,191.01625648295297,236.01625648295297,34.51204888829133,0,6,False
18,194.5123713687542,204.5123713687542,244.5123713687542,10.0,0,6,False
21,197.90867477311193,204.5123713687542,254.5123713687542,6.603696595642276,0,7,False
20,196.90867477311193,204.5123713687542,269.5123713687542,7.603696595642276,0,9,False
22,203.0720914732289,204.5123713687542,269.5123713687542,1.4402798955252933,0,9,False
23,227.53861983015713,237.53861983015713,272.53861983015713,10.0,0,6,False
24,246.08982416754165,276.0898241675417,291.0898241675417,30.00000000000003,0,2,False
26,256.7780882985904,276.0898241675417,291.0898241675417,19.311735868951303,0,2,False
27,270.23995566215433,276.0898241675417,291.0898241675417,5.849868505387349,0,2,False
25,247.08982416754165,276.0898241675417,306.0898241675417,29.00000000000003,0,4,False
28,272.78382515581666,276.0898241675417,316.0898241675417,3.305999011725021,0,5,False
29,273.78382515581666,276.0898241675417,326.0898241675417,2.305999011725021,0,6,False
32,317.3502824682447,325.2931019133652,340.2931019133652,7.942819445120506,0,2,False
31,315.5454376953768,325.2931019133652,355.2931019133652,9.747664217988415,0,4,False
34,327.4565797972681,335.2931019133652,355.2931019133652,7.836522116097115,0,3,False
30,295.2931019133652,325.2931019133652,370.2931019133652,30.0,0,6,False
38,356.8235893722914,361.847054904167,386.847054904167,5.023465531875615,0,4,False
33,326.4565797972681,335.2931019133652,390.2931019133652,8.836522116097115,0,9,False
37,349.73082432493266,361.847054904167,401.847054904167,12.116230579234355,0,6,False
35,336.847054904167,361.847054904167,411.847054904167,25.0,0,7,False
36,342.87969105006573,361.847054904167,426.847054904167,18.96736385410128,0,9,False
40,399.76530705975796,412.75374749138973,442.75374749138973,12.988440431631773,0,5,False
39,382.75374749138973,412.75374749138973,452.75374749138973,30.0,0,6,False
41,415.98319794696704,440.98319794696704,465.98319794696704,25.0,0,4,False
44,464.5001913755199,488.3779112708984,508.3779112708984,23.877719895378505,0,3,False
45,476.6256871307676,488.3779112708984,508.3779112708984,11.752224140130807,0,3,False
50,495.9129924372913,495.9129924372913,510.9129924372913,0.0,0,2,False
49,490.98461452441535,490.98461452441535,510.98461452441535,0.0,0,3,False
42,458.3779112708984,488.3779112708984,518.3779112708984,30.0,0,4,False
48,487.4617814664446,488.3779112708984,533.3779112708984,0.9161298044537602,0,6,False
51,517.1736321765492,527.1736321765492,542.1736321765492,10.0,0,2,False
53,522.9859388834687,527.1736321765492,542.1736321765492,4.187693293080429,0,2,False
43,459.3779112708984,488.3779112708984,543.3779112708984,29.0,0,7,False
47,481.8562796380406,488.3779112708984,543.3779112708984,6.521631632857805,0,7,False
52,520.6615841222263,527.1736321765492,552.1736321765492,6.512048054322918,0,3,False
46,480.8562796380406,488.3779112708984,558.3779112708984,7.521631632857805,0,9,False
54,534.9799887853346,534.9799887853346,574.9799887853346,0.0,0,7,False
57,545.8537529753111,572.1736321765492,587.1736321765492,26.31987920123811,0,2,False
59,553.1643179440018,572.1736321765492,607.1736321765492,19.009314232547354,0,5,False
58,548.9722551855501,572.1736321765492,617.1736321765492,23.20137699099905,0,6,False
61,595.2043810805442,611.5705504691462,621.5705504691462,16.366169388601975,0,1,False
60,576.5705504691462,611.5705504691462,636.5705504691462,35.0,0,3,False
65,606.8770238567397,611.5705504691462,636.5705504691462,4.693526612406458,0,3,False
66,611.2183818217044,611.5705504691462,636.5705504691462,0.352168647441772,0,3,False
55,536.4481070839984,572.1736321765492,637.1736321765492,35.72552509255081,0,9,False
56,539.7926036216162,572.1736321765492,637.1736321765492,32.38102855493298,0,9,False
64,598.9925495534762,611.5705504691462,651.5705504691462,12.578000915669918,0,5,False
67,621.975638643346,621.975638643346,656.975638643346,0.0,0,6,False
62,596.2861301665035,611.5705504691462,676.5705504691462,15.284420302642616,0,9,False
63,597.2861301665035,611.5705504691462,676.5705504691462,14.284420302642616,0,9,False
68,635.0724412025672,687.1736321765492,697.1736321765492,52.10119097398194,0,1,False
72,674.9519952487691,687.1736321765492,707.1736321765492,12.221636927780082,0,2,False
